event_id,session_id,event_type,timestamp,product_id
1,1,page_view,2024-01-03T21:43:00,24
2,1,click,2024-01-03T21:43:48,32
3,2,page_view,2024-01-22T08:07:00,10
4,2,click,2024-01-22T08:07:49,38
5,3,page_view,2024-01-29T11:04:00,24
6,4,page_view,2024-01-13T09:14:00,28
7,5,page_view,2024-01-23T14:48:00,42
8,6,page_view,2024-01-13T21:32:00,18
9,6,click,2024-01-13T21:32:34,7
10,6,add_to_cart,2024-01-13T21:33:46,32
11,7,page_view,2024-01-05T06:06:00,48
12,7,click,2024-01-05T06:06:09,32
13,8,page_view,2024-01-22T16:09:00,20
14,8,purchase,2024-01-22T16:11:18,43
15,9,page_view,2024-01-25T21:50:00,30
16,9,click,2024-01-25T21:50:47,32
17,10,page_view,2024-01-11T23:34:00,2
18,10,purchase,2024-01-11T23:42:20,8
19,11,page_view,2024-01-11T18:28:00,30
20,11,click,2024-01-11T18:28:16,36
21,12,page_view,2024-01-06T21:27:00,9
22,12,click,2024-01-06T21:27:29,32
23,13,page_view,2024-01-16T23:43:00,35
24,13,click,2024-01-16T23:43:35,36
25,14,page_view,2024-01-13T14:31:00,38
26,15,page_view,2024-01-10T16:03:00,2
27,15,click,2024-01-10T16:03:13,24
28,15,add_to_cart,2024-01-10T16:04:37,2
29,16,page_view,2024-01-13T09:27:00,23
30,17,page_view,2024-01-02T13:15:00,16
31,18,page_view,2024-01-03T15:07:00,22
32,18,click,2024-01-03T15:07:39,21
33,18,add_to_cart,2024-01-03T15:08:43,37
34,19,page_view,2024-01-14T14:01:00,45
35,19,click,2024-01-14T14:01:06,21
36,19,add_to_cart,2024-01-14T14:02:05,21
37,20,page_view,2024-01-26T21:06:00,45
38,21,page_view,2024-01-25T16:10:00,40
39,21,click,2024-01-25T16:10:32,13
40,22,page_view,2024-01-26T08:53:00,35
41,22,click,2024-01-26T08:53:21,4
42,22,add_to_cart,2024-01-26T08:54:44,26
43,23,page_view,2024-01-03T09:37:00,22
44,23,click,2024-01-03T09:37:41,34
45,24,page_view,2024-01-26T08:41:00,20
46,24,click,2024-01-26T08:41:24,28
47,25,page_view,2024-01-09T22:29:00,43
48,26,page_view,2024-01-23T22:55:00,12
49,26,click,2024-01-23T22:55:18,43
50,27,page_view,2024-01-30T23:51:00,40
51,28,page_view,2024-01-24T07:33:00,13
52,28,click,2024-01-24T07:33:14,16
53,28,add_to_cart,2024-01-24T07:34:02,28
54,29,page_view,2024-01-28T08:40:00,14
55,30,page_view,2024-01-10T11:16:00,44
56,31,page_view,2024-01-07T06:15:00,20
57,31,click,2024-01-07T06:15:40,28
58,31,add_to_cart,2024-01-07T06:15:54,13
59,32,page_view,2024-01-09T14:42:00,36
60,32,click,2024-01-09T14:42:59,3
61,33,page_view,2024-01-28T08:20:00,39
62,33,click,2024-01-28T08:20:09,27
63,34,page_view,2024-01-13T10:15:00,8
64,34,click,2024-01-13T10:15:37,8
65,35,page_view,2024-01-25T22:16:00,32
66,36,page_view,2024-01-04T16:21:00,38
67,37,page_view,2024-01-30T19:13:00,10
68,37,click,2024-01-30T19:13:18,18
69,37,add_to_cart,2024-01-30T19:14:00,38
70,37,purchase,2024-01-30T19:20:23,45
71,38,page_view,2024-01-04T16:34:00,28
72,38,click,2024-01-04T16:34:20,18
73,39,page_view,2024-01-23T17:52:00,20
74,39,click,2024-01-23T17:52:43,3
75,40,page_view,2024-01-23T13:16:00,36
76,40,click,2024-01-23T13:16:45,45
77,40,add_to_cart,2024-01-23T13:17:10,35
78,41,page_view,2024-01-28T20:24:00,1
79,42,page_view,2024-01-30T14:19:00,6
80,43,page_view,2024-01-28T11:58:00,29
81,44,page_view,2024-01-14T07:17:00,6
82,45,page_view,2024-01-16T19:59:00,22
83,46,page_view,2024-01-27T11:44:00,17
84,46,click,2024-01-27T11:44:27,27
85,47,page_view,2024-01-24T16:29:00,45
86,47,click,2024-01-24T16:29:08,42
87,48,page_view,2024-01-26T10:00:00,26
88,48,click,2024-01-26T10:00:24,21
89,48,purchase,2024-01-26T10:05:15,34
90,49,page_view,2024-01-25T10:54:00,39
91,50,page_view,2024-01-11T20:30:00,48
92,50,click,2024-01-11T20:30:16,44
93,51,page_view,2024-01-03T19:23:00,12
94,51,click,2024-01-03T19:23:29,37
