session_id,user_id,session_start,device
1,1,2024-01-03T21:43:00,desktop
2,2,2024-01-22T08:07:00,desktop
3,2,2024-01-29T11:04:00,desktop
4,3,2024-01-13T09:14:00,mobile
5,3,2024-01-23T14:48:00,mobile
6,4,2024-01-13T21:32:00,mobile
7,4,2024-01-05T06:06:00,mobile
8,5,2024-01-22T16:09:00,desktop
9,6,2024-01-25T21:50:00,desktop
10,6,2024-01-11T23:34:00,desktop
11,7,2024-01-11T18:28:00,mobile
12,8,2024-01-06T21:27:00,mobile
13,8,2024-01-16T23:43:00,mobile
14,8,2024-01-13T14:31:00,mobile
15,9,2024-01-10T16:03:00,mobile
16,10,2024-01-13T09:27:00,tablet
17,10,2024-01-02T13:15:00,tablet
18,11,2024-01-03T15:07:00,mobile
19,11,2024-01-14T14:01:00,mobile
20,11,2024-01-26T21:06:00,mobile
21,12,2024-01-25T16:10:00,desktop
22,12,2024-01-26T08:53:00,desktop
23,13,2024-01-03T09:37:00,mobile
24,13,2024-01-26T08:41:00,mobile
25,14,2024-01-09T22:29:00,mobile
26,15,2024-01-23T22:55:00,desktop
27,16,2024-01-30T23:51:00,desktop
28,17,2024-01-24T07:33:00,desktop
29,17,2024-01-28T08:40:00,desktop
30,17,2024-01-10T11:16:00,desktop
31,18,2024-01-07T06:15:00,mobile
32,19,2024-01-09T14:42:00,mobile
33,20,2024-01-28T08:20:00,mobile
34,21,2024-01-13T10:15:00,desktop
35,21,2024-01-25T22:16:00,desktop
36,21,2024-01-04T16:21:00,desktop
37,22,2024-01-30T19:13:00,desktop
38,22,2024-01-04T16:34:00,desktop
39,23,2024-01-23T17:52:00,mobile
40,24,2024-01-23T13:16:00,mobile
41,24,2024-01-28T20:24:00,mobile
42,24,2024-01-30T14:19:00,mobile
43,25,2024-01-28T11:58:00,desktop
44,26,2024-01-14T07:17:00,desktop
45,26,2024-01-16T19:59:00,desktop
46,27,2024-01-27T11:44:00,mobile
47,27,2024-01-24T16:29:00,mobile
48,27,2024-01-26T10:00:00,mobile
49,28,2024-01-25T10:54:00,mobile
50,28,2024-01-11T20:30:00,mobile
51,29,2024-01-03T19:23:00,desktop
52,30,2024-01-30T08:29:00,mobile
53,30,2024-01-05T08:23:00,mobile
54,31,2024-01-14T20:52:00,mobile
55,31,2024-01-13T10:27:00,mobile
56,32,2024-01-22T12:26:00,desktop
57,33,2024-01-12T20:05:00,desktop
58,33,2024-01-07T18:45:00,desktop
59,33,2024-01-04T23:03:00,desktop
60,34,2024-01-26T07:00:00,mobile
61,34,2024-01-05T23:02:00,mobile
62,34,2024-01-15T10:05:00,mobile
63,35,2024-01-11T07:08:00,mobile
64,36,2024-01-30T19:18:00,mobile
65,36,2024-01-09T22:20:00,mobile
66,37,2024-01-25T10:35:00,mobile
67,37,2024-01-07T10:03:00,mobile
68,37,2024-01-15T17:45:00,mobile
69,37,2024-01-04T17:05:00,mobile
70,38,2024-01-17T14:36:00,desktop
71,39,2024-01-03T13:49:00,tablet
72,40,2024-01-22T09:25:00,desktop
73,41,2024-01-15T14:38:00,mobile
74,41,2024-01-24T10:13:00,mobile
75,42,2024-01-24T08:35:00,mobile
76,42,2024-01-13T18:18:00,mobile
